subject,robot,target_id,moves
116241,white,17648,"['2,1', '4,5', '3,1', '5,1', '4,0', '6,2', '4,2']"
116241,white,1710,"['0,0', '0,5', '4,1', '0,1', '3,4', '3,1', '2,2']"
116241,white,13565,"['2,1', '4,5', '3,2', '4,2', '1,2']"
116241,white,10934,"['3,3', '3,6', '3,0', '0,3', '1,1']"
116241,white,14000,"['3,2', '3,0', '1,3', '3,5', '3,5', '3,5', '2,1', '6,4', '6,4', '6,4', '6,4', '6,4', '2,4', '1,3', '1,4', '6,1', '6,1', '5,5', '4,6']"
116241,white,10950,"['0,5', '5,4', '0,1', '1,1', '1,1', '1,1', '5,3']"
116241,white,7246,"['0,1', '4,3', '1,2', '3,2', '0,2', '0,6', '0,6', '0,6', '0,6', '0,2', '0,5', '0,6', '2,5', '2,5', '2,4']"
116241,white,2290,"['0,3', '4,2', '1,3', '6,3', '6,3', '6,3', '2,4', '5,5', '5,5', '1,6']"
116241,white,5663,"['0,0', '4,4', '1,1', '1,1', '1,1', '0,4', '4,0', '4,0', '4,3']"
116241,blue,14000,"['2,1', '3,3', '6,1', '6,1', '5,1', '2,4', '6,4']"
116241,blue,1710,"['0,1', '0,1', '0,1', '0,4', '2,3', '3,1']"
116241,blue,10950,"['0,0', '6,4', '6,1', '1,2']"
116241,blue,5663,"['0,0', '0,4', '3,3', '4,4']"
116241,blue,7246,"['0,2', '3,5', '1,5', '2,3']"
116241,blue,13565,"['2,1', '3,2', '2,5']"
116241,blue,2290,"['1,3', '6,6', '2,4', '2,4', '2,4', '5,5', '5,5', '0,3']"
116241,blue,10934,"['1,1', '6,5', '3,3', '4,3', '2,4']"
116241,blue,17648,"['3,2', '3,2', '4,2', '4,1', '3,1', '3,4', '5,4', '5,1', '4,4', '2,2', '2,2', '2,2']"
116241,blue,8232,"['2,1', '4,5', '3,3']"
141115,white,8232,"['2,1', '4,1', '1,1', '5,4', '3,5']"
141115,white,1710,"['0,1', '3,4', '2,0', '2,4', '3,5', '0,4', '2,2', '4,2']"
141115,white,10934,"['3,3', '5,3', '2,3', '1,1', '6,5', '6,4', '4,3', '4,4', '4,2']"
